term,estimate,std.error,statistic,p.value,conf.low,conf.high
quarteremppq2:TLyes,-0.022152289275621014,0.02574998662565287,-0.8602835254893793,0.3896407892159043,-0.07262371034952843,0.028319131798286403
quarteremppq3:TLyes,-0.010481714591348825,0.029203603251449037,-0.3589185382741679,0.7196589764532517,-0.0677224183636307,0.046758989180933054
quarteremppq4:TLyes,-0.0070303179892352895,0.03132893890828164,-0.22440332274952543,0.822445267624845,-0.06843679910419445,0.054376163125723874
quarteremppq5:TLyes,-0.008716936114217977,0.03391052908848165,-0.25705691855981244,0.7971368901015898,-0.07518347908161065,0.05774960685317469
quarteremppq6:TLyes,0.017705376609466448,0.03398979672100141,0.5209026919106803,0.6024390436008762,-0.04891653537293189,0.08432728859186478
quarteremppq7:TLyes,0.023896499238932358,0.03396966017067389,0.7034659492873666,0.4817717863909401,-0.04268594397304169,0.09047894245090642
quarteremppq8:TLyes,0.04126043852068336,0.03396159397512956,1.214914663631478,0.22440979126117394,-0.025306194494660268,0.107827071536027
quarteremppq9:TLyes,-0.03378584063518133,0.033196927791488494,-1.017739980259373,0.3088111132944846,-0.09885368495223967,0.03128200368187701
