term,estimate,std.error,statistic,p.value
(Intercept),0.1917808219178027,0.0066755841834421565,28.72869499473738,1.1309896589798314e-174
TLyes,0.01978073964375429,0.008305800493149287,2.3815572815732398,0.017257650656412167
